PID,X,Y
35,-122.63188095271617,45.48410589098453
36,-122.586618701492,45.52754234315623
37,-122.59274017325039,45.55144709853194
38,-122.6860034281221,45.55945839384935
39,-122.6938917748394,45.530157486544226
40,-122.73342432698689,45.47191841818013
41,-122.73358948552874,45.481601521005786
42,-122.48676861241384,45.52278350273023
43,-122.50366595028771,45.511784479403715
44,-122.45213014620629,45.503971265761336
109,-122.64424760652359,45.47420230201258
110,-122.61434565166256,45.4835070131434
111,-122.59012012128609,45.4939137941108
112,-122.62885631059231,45.51567748530854
113,-122.60681294090602,45.51111939460546
114,-122.66706541863955,45.54401460024219
115,-122.61590102411493,45.53473767711994
116,-122.65561977753853,45.559112388672624
117,-122.72242301210979,45.58790875288715
118,-122.69497333380498,45.5271905881973
119,-122.60898610307466,45.55687876431362
120,-122.58759551409197,45.56014086837855
121,-122.54310489591792,45.540288963318
122,-122.5471284358647,45.48282581507975
123,-122.47145182439165,45.530388599189884
124,-122.46537555908094,45.511819210481114
125,-122.43189392305895,45.50333694149809
126,-122.40659725348823,45.51188455337342
155,-122.60504797041493,45.543551799964995
156,-122.69082878535396,45.514037514934465
157,-122.49048191323261,45.49903942953396
166,-122.70412269473421,45.58401209171667
179,-122.62389053882461,45.554763423112824
180,-122.71351448237249,45.46180209809733
197,-122.65595645086213,45.55187446973413
198,-122.69973981144864,45.572702377582225
199,-122.47026393773942,45.47307786793512
206,-122.65856847747887,45.4769211552161
207,-122.60412710068928,45.48315006591985
208,-122.63126221339445,45.49378926777145
209,-122.66093070482476,45.51316623385753
210,-122.62872561929987,45.50842169605876
211,-122.59032566040601,45.51273857929692
212,-122.66755951076712,45.5343643586125
213,-122.65194322596733,45.534211598664115
216,-122.62644589356704,45.541517771970476
217,-122.64546149676563,45.5553132042201
218,-122.66826363836698,45.55862757580723
219,-122.6682595534419,45.5763359268581
220,-122.68361289959113,45.57353515144248
221,-122.70163868676667,45.538315988694016
222,-122.70277778719424,45.50999323570469
223,-122.67742248539393,45.52892733302389
224,-122.69083146399453,45.520532071048706
225,-122.67452760452616,45.506467628450416
226,-122.69646341202244,45.49965980181065
227,-122.67335809115112,45.48502837960203
232,-122.68681005401291,45.489631432805346
233,-122.67050605223945,45.44873195527718
234,-122.69754833619666,45.44392676866695
235,-122.72818960316602,45.4381031916904
236,-122.73411886645437,45.457116558841314
237,-122.73551103900182,45.492670660374394
238,-122.78696631183013,45.56002283638952
239,-122.57101139764521,45.5591900385055
244,-122.55252870678719,45.528053812461465
245,-122.54573205330976,45.5148731632393
246,-122.5842013715485,45.46868827670571
247,-122.50893978288845,45.54757508794994
248,-122.46072720818825,45.52919551711388
249,-122.45380957747422,45.493159830196944
250,-122.42150687129518,45.472829658625614
251,-122.38197149292392,45.53137418013702
252,-122.42275439316121,45.512976401889084
253,-122.40516996178287,45.49959625193549
375,-122.54817604257606,45.5533628657707
451,-122.62669667119965,45.47004441611871
452,-122.59466028954759,45.48223004858885
453,-122.57193284604345,45.47474105632843
454,-122.61202672381533,45.493826161942266
455,-122.63099957293703,45.50098654524294
456,-122.64968685055953,45.49795248622972
457,-122.61763906720222,45.51142716110707
458,-122.5721721859779,45.5119106247161
459,-122.57327928071203,45.52567023652019
460,-122.62389620983268,45.52653979751194
466,-122.65592621754728,45.523724843470056
467,-122.63899102436564,45.543596987687394
468,-122.63914712384688,45.53497932152392
469,-122.5887197744734,45.54125308343635
470,-122.57074816434057,45.543089596200524
471,-122.63577083434835,45.5554996529256
472,-122.68287276450853,45.55146026190062
473,-122.65591748192273,45.571093095431415
474,-122.66816133328007,45.566327509158654
556,-122.68408840528079,45.581151338997685
557,-122.68472968033261,45.566301856252984
558,-122.75785038036062,45.604616516978794
559,-122.76144598042133,45.591381637210254
560,-122.76966604813902,45.57923368902698
561,-122.71025377458278,45.51964408803746
562,-122.68759616392875,45.53008036378909
563,-122.71319179017158,45.47967697956323
564,-122.71854513669491,45.491440289033456
565,-122.84933772630133,45.66949841225549
566,-122.58835577081348,45.58159909028658
567,-122.56241187208413,45.55065091900472
568,-122.55433410817982,45.54035459181947
569,-122.57227998512333,45.49731690937856
570,-122.55692199678168,45.49707060439244
571,-122.60279220723122,45.47226801732771
572,-122.60266420262013,45.46504683374708
573,-122.50868157414965,45.50072498552957
574,-122.50641817246989,45.48847266508873
575,-122.52357376242617,45.5281092276456
576,-122.51818920830581,45.53891713018502
577,-122.48654202159399,45.53453009582676
578,-122.47398083296265,45.49643976611091
579,-122.45960375649335,45.485224666488115
580,-122.43656480863832,45.48391611587884
581,-122.44417317730371,45.526143088572375
582,-122.47817217117274,45.56549924656895
583,-122.33566160203888,45.48564464119338
584,-122.38984452822116,45.50232963640184
585,-122.08524436490426,45.52766115227178
586,-122.70605634772774,45.560433397348255
629,-122.64221034730384,45.50845584790015
630,-122.63781575489746,45.52521893821851
631,-122.64088282447192,45.5693293728254
632,-122.73070548104756,45.576596736096825
636,-122.68708543666973,45.47507333234973
637,-122.72101327455239,45.44740606505949
638,-122.7074202834932,45.471081950731104
639,-122.54282676430958,45.49692393961271
640,-122.50306597657966,45.52625148438077
641,-122.41008176805673,45.530050903538566
642,-122.67612877777997,45.5186915041105
666,-122.65606315828012,45.508604452740364
677,-122.52935481494093,45.51327842809128
690,-122.65258398736214,45.543717014718396
691,-122.6053196878696,45.533902550212
692,-122.38546703494636,45.476090952939714
700,-122.73097337464615,45.50817790164602
701,-122.42410552237386,45.534439704579356
724,-122.60745071235827,45.51998299304569
725,-122.74385242425429,45.586978559841036
726,-122.68396465298598,45.512133130967094
727,-122.70059685309101,45.48512049713432
728,-122.70080239695966,45.62378875411115
729,-122.5169189401397,45.4703162679635
730,-122.48611976953114,45.5118443500491
746,-122.56664714077971,45.484785097550315
747,-122.60483538872656,45.526301576170795
748,-122.61647261921614,45.54348138360998
763,-122.7031216983894,45.53085294326702
764,-122.71935113744239,45.6120670700922
765,-122.56057295190779,45.46745610442356
766,-122.52811174372893,45.55080059919875
785,-122.39196887236582,45.52664531643142
789,-122.55834762050456,45.51189831566189
798,-122.68850865415271,45.464919989122926
800,-122.60769471288565,45.56582981724853
801,-122.4046359081417,45.48519792437621
805,-122.5849437517808,45.483700351378715
807,-122.5158670416467,45.51328770180278
808,-122.6108911168081,45.50135818485831
809,-122.66859402239922,45.551404193289564
812,-122.62543317432396,45.56778238376052
817,-122.64216783920679,45.51571007797147
824,-122.58910830448117,45.50138929006164
825,-122.53069926606925,45.49262081370952
